Name	Year	Rating	Description	Visual Appeal	Reliability	Performance	Comfort	Service Experience	Maintenance cost	Extra Features	Likes	Dislikes	Used it for	Owned for	Mileage	Ridden for
Sandeep Verma	4 years ago by	5	Royal feeling with enfield	5			4	4		4	"
                            1"	"
                            0"	Everything	6 months-1 yr	34 kmpl	> 15000 kms
Manpreet Singh	4 years ago by	5	Luxury bike	5	5	5			5		"
                            0"	"
                            0"	Everything	> 1 yr	40 kmpl	5000-10000 kms
Rachit Bishi	4 years ago by	4	Royal family				4	4		4	"
                            0"	"
                            0"	Everything	6 months-1 yr	36 kmpl	10000-15000 kms
Raj Singh	4 years ago by	4	Why to buy  royal enfield	5	5		4	4		4	"
                            0"	"
                            0"	Tours	> 1 yr	35 kmpl	> 15000 kms
Vivek Mishra	4 years ago by	5	My honest review for bullet 350	5	5	5	4	4	5	4	"
                            3"	"
                            0"	Daily Commute	> 1 yr	35 kmpl	< 5000 kms
Pravar Parashar	4 years ago by	4	Once a owner always a owner	5	5	5	4		5	4	"
                            0"	"
                            0"	Everything	< 3 months	30 kmpl	5000-10000 kms
Syam	4 years ago by	5	Review	5	5	5			5		"
                            2"	"
                            1"	Everything	> 1 yr		5000-10000 kms
Amir	4 years ago by	4	Over all good choice	5			4	4		4	"
                            0"	"
                            0"	Everything	3-6 months	46 kmpl	< 5000 kms
Ramesh Agrahari	4 years ago by	5	This is my rock enfield bike	5	5		4	4		4	"
                            1"	"
                            0"	Everything	> 1 yr	32 kmpl	> 15000 kms
Surya Pratap Singh	4 years ago by	4	Royal enfield bullet	5			4	4		4	"
                            0"	"
                            0"	Leisure Rides	> 1 yr	32 kmpl	> 15000 kms
Jay	4 years ago by	5	Classy	5	5						"
                            0"	"
                            0"	Everything	Never owned		
Divij	4 years ago by	5	Royal enfiled	5	5	5			5		"
                            0"	"
                            0"	Daily Commute	> 1 yr	43 kmpl	5000-10000 kms
Sri Ram	4 years ago by	5	Explore yourself	5	5		4	4		4	"
                            1"	"
                            0"	Everything	> 1 yr	35 kmpl	> 15000 kms
Sukhvinder Singh	4 years ago by	5	King of bike	5	5	5			5		"
                            0"	"
                            0"	Everything	> 1 yr	40 kmpl	> 15000 kms
Rupak Verma	4 years ago by	4	Amazing	5	5		4	4		4	"
                            0"	"
                            0"	Everything	6 months-1 yr	37 kmpl	10000-15000 kms
Jitendra	4 years ago by	5	Use any way like that rough tough	5	5	5	4	4	5	4	"
                            0"	"
                            0"	Everything	> 1 yr	60 kmpl	< 5000 kms
Deepak Rathee	4 years ago by	4	Carrier bike	5			4	4		4	"
                            0"	"
                            0"	Everything	> 1 yr	40 kmpl	5000-10000 kms
Suvra	4 years ago by	2	Review								"
                            11"	"
                            8"	Daily Commute	> 1 yr	35 kmpl	> 15000 kms
Aditya Sawant	4 years ago by	5	King like feeling	5	5		4	4		4	"
                            0"	"
                            0"	Everything	6 months-1 yr	40 kmpl	< 5000 kms
Lovey	4 years ago by	5	Remake old version	5	5	5			5		"
                            0"	"
                            0"	Everything	> 1 yr	45 kmpl	> 15000 kms
Ketan Kalke	4 years ago by	5	Excellent	5	5	5	4	4	5	4	"
                            0"	"
                            0"	Daily Commute	< 3 months	45 kmpl	5000-10000 kms
Uday	4 years ago by	4	Its t a racer	5	5		4	4		4	"
                            1"	"
                            0"	Daily Commute	> 1 yr	35 kmpl	10000-15000 kms
Sanjay	4 years ago by	5	A fusion of powerful machinery classy appearance and tons of heri...	5	5		4	4		4	"
                            0"	"
                            0"	Daily Commute	Never owned		
Narayana	4 years ago by	5	Love enfield	5	5	5			5		"
                            1"	"
                            0"	Daily Commute	> 1 yr	40 kmpl	< 5000 kms
Vigneshwaran. S	4 years ago by	5	Mr. Bullet	5	5	5			5		"
                            1"	"
                            0"	Everything	> 1 yr	32 kmpl	> 15000 kms
Sunny Brar	4 years ago by	5	The Maharajas style	5	5	5			5		"
                            0"	"
                            0"	Everything	> 1 yr	35 kmpl	> 15000 kms
Nageswararao	4 years ago by	5	Awesome bike	5	5	5	4	4	5	4	"
                            0"	"
                            0"	Occasional Commute	6 months-1 yr	33 kmpl	5000-10000 kms
Yogendra Pal Koshle	4 years ago by	5	For adorable riding use this feel like a royal	5	5	5	4	4	5	4	"
                            0"	"
                            0"	Everything	3-6 months	48 kmpl	< 5000 kms
Sathwik	4 years ago by	4	Its mixture of good and bad	5	5		4	4		4	"
                            0"	"
                            0"	Leisure Rides	> 1 yr	35 kmpl	5000-10000 kms
Mayurmatang	4 years ago by	5	My dream bike royal enfield	5	5	5	4	4	5	4	"
                            1"	"
                            2"	Everything	> 1 yr	40 kmpl	10000-15000 kms
Magesh	4 years ago by	5	Bullet 350	5	5	5			5		"
                            1"	"
                            0"	Daily Commute	3-6 months	40 kmpl	< 5000 kms
Swastideep Aditya	4 years ago by	5	I like this bike very much	5	5	5			5		"
                            1"	"
                            0"	Everything	3-6 months	150 kmpl	5000-10000 kms
Chintan Chauhan	4 years ago by	5	My bike	5	5	5			5		"
                            1"	"
                            0"	Daily Commute	3-6 months	30 kmpl	5000-10000 kms
Rajat	4 years ago by	5	Awesome bike	5	5	5	4		5	4	"
                            0"	"
                            0"	Everything	> 1 yr	52 kmpl	5000-10000 kms
J.Srinivas Rao	4 years ago by	5	Lion on the road	5	5	5			5		"
                            0"	"
                            1"	Daily Commute	Never owned		27 kmpl
Sangram	4 years ago by	4	Best bike of royal enfield	5	5		4	4		4	"
                            0"	"
                            0"	Everything	6 months-1 yr	34 kmpl	> 15000 kms
Tanmay Paingankar	4 years ago by	5	Pride to ride a royal enfield	5			4	4		4	"
                            0"	"
                            0"	Everything	> 1 yr		10000-15000 kms
Rajendr Singh	4 years ago by	5	My royal enfield	5	5	5			5		"
                            0"	"
                            0"	Daily Commute	> 1 yr	45 kmpl	10000-15000 kms
Sathish	4 years ago by	5	Excellent bike when used frequently	5	5	5	4		5	4	"
                            4"	"
                            0"	Daily Commute	> 1 yr	32 kmpl	5000-10000 kms
Anirban Lodh	4 years ago by	5	Best review	5	5	5			5		"
                            3"	"
                            3"	Everything	< 3 months	35 kmpl	5000-10000 kms
Rahul Harade	4 years ago by	5	Bullet 350 awesome bike	5	5	5	4		5	4	"
                            1"	"
                            0"	Daily Commute	Never owned		40 kmpl
Pravin Pujary	4 years ago by	5	Royal enfield gives royal feeling!!!!!!!!	5			4	4		4	"
                            1"	"
                            0"	Daily Commute	6 months-1 yr	40 kmpl	5000-10000 kms
Jitendra	4 years ago by	5	All rounder bike	5	5	5			5		"
                            0"	"
                            0"	Daily Commute	> 1 yr	40 kmpl	< 5000 kms
Bachan Singh	4 years ago by	5	My classic 350	5	5		4			4	"
                            0"	"
                            0"	Daily Commute	> 1 yr	37 kmpl	< 5000 kms
Mayank	4 years ago by	4	Cons of classic	5			4	4		4	"
                            0"	"
                            0"	Tours	> 1 yr		< 5000 kms
Shejowin Sebastian ...	4 years ago by	5	Call me..Bullet boy 350	5	5	5	4	4	5	4	"
                            2"	"
                            0"	Leisure Rides	6 months-1 yr	40 kmpl	10000-15000 kms
Sunny	4 years ago by	5	Its a wonderful bike for riders	5	5	5			5		"
                            0"	"
                            0"	Everything	Never owned		40 kmpl
Rajat	4 years ago by	4	 abs	5			4	4		4	"
                            1"	"
                            0"	Daily Commute	> 1 yr	40 kmpl	5000-10000 kms
Tamil Selvan	4 years ago by	5	Best comfort - stylish - budget - bullet re std 350	5			4	4		4	"
                            4"	"
                            0"	Daily Commute	> 1 yr	36 kmpl	> 15000 kms
Hemant	4 years ago by	4	My bike my rule	5	5		4			4	"
                            0"	"
                            0"	Tours	> 1 yr	30 kmpl	< 5000 kms
Barik Bhandral	4 years ago by	4	Beauty and a beast	5	5		4	4		4	"
                            0"	"
                            0"	Tours	3-6 months	42 kmpl	5000-10000 kms
K Anand Kumar	4 years ago by	5	King of bikes	5	5	5			5		"
                            0"	"
                            0"	Everything	< 3 months	40 kmpl	< 5000 kms
Harindra Varma	4 years ago by	5	Roaring lion	5			4	4		4	"
                            0"	"
                            0"	Daily Commute	> 1 yr	40 kmpl	> 15000 kms
Aditya Narwal	4 years ago by	5	Make a difference	5	5	5			5		"
                            0"	"
                            2"	Daily Commute	> 1 yr	35 kmpl	> 15000 kms
Vishnu	4 years ago by	5	Good bike	5	5	5	4	4	5	4	"
                            0"	"
                            2"	Daily Commute	6 months-1 yr	35 kmpl	< 5000 kms
Gobind Biswakarma	4 years ago by	5	Paisa wasool	5	5	5			5		"
                            0"	"
                            1"	Tours	3-6 months		5000-10000 kms
Achintya Ghosh	4 years ago by	5	Number 1 bike India	5	5	5			5		"
                            0"	"
                            0"	Everything	6 months-1 yr	120 kmpl	< 5000 kms
Maj Mc	4 years ago by	5	0.1	5	5	5	4		5	4	"
                            1"	"
                            1"	Tours	> 1 yr	53 kmpl	10000-15000 kms
Vaithiyanathan N	4 years ago by	5	King of king	5	5	5	4	4	5	4	"
                            1"	"
                            0"	Daily Commute	> 1 yr	56 kmpl	> 15000 kms
Pankaj Swami	4 years ago by	5	Royalty means royal enfield	5	5						"
                            0"	"
                            0"	Occasional Commute	Never owned		40 kmpl
Sidhant Parida	4 years ago by	5	Review	5	5	5			5		"
                            0"	"
                            0"	Daily Commute	> 1 yr	28 kmpl	5000-10000 kms
Jagan Mohan.G	4 years ago by	5	Middle class royal bike	5	5	5			5		"
                            1"	"
                            0"	Everything	Never owned		35 kmpl
Kirtan Patel	4 years ago by	5	Riding experience	5	5	5			5		"
                            0"	"
                            0"	Everything	Never owned		30 kmpl
Navaz Shareef	4 years ago by	5	Royal enfield bullet 350	5	5	5	4		5	4	"
                            0"	"
                            0"	Tours	3-6 months	40 kmpl	10000-15000 kms
Arjun Kv	4 years ago by	4	Incredible Machine	5	5		4	4		4	"
                            0"	"
                            0"	Everything	> 1 yr	45 kmpl	> 15000 kms
Sanju Dev	4 years ago by	5	Feel the ride				4	4		4	"
                            0"	"
                            0"	Daily Commute	6 months-1 yr		< 5000 kms
Alen Joe Francy	4 years ago by	4	Bullets beat!!!is my heart beat!!!!!				4	4		4	"
                            0"	"
                            0"	Everything	> 1 yr	50 kmpl	10000-15000 kms
Ajinkya Katre	4 years ago by	4	Its was very nice or pleasant	5	5		4	4		4	"
                            0"	"
                            0"	Daily Commute	< 3 months	35 kmpl	< 5000 kms
Suresh.E	4 years ago by	5	Legend 350 std	5	5	5			5		"
                            2"	"
                            0"	Daily Commute	> 1 yr	40 kmpl	5000-10000 kms
Ashish Saklani	4 years ago by	5	Bike like a member								"
                            0"	"
                            0"	Daily Commute	> 1 yr	34 kmpl	5000-10000 kms
Ashish	4 years ago by	5	Pros and cons								"
                            12"	"
                            2"	Everything	> 1 yr		> 15000 kms
Anugrah Gir	4 years ago by	5	She is royal	5	5	5	4		5	4	"
                            0"	"
                            0"	Leisure Rides	3-6 months	40 kmpl	10000-15000 kms
Deepak	4 years ago by	5	Mass bullet								"
                            1"	"
                            0"	Everything	> 1 yr		> 15000 kms
Akshay Jagtap	4 years ago by	5	Dream	5	5	5			5		"
                            0"	"
                            0"	Everything	Never owned		40 kmpl
Raju Rai	4 years ago by	5	Strong bike	5	5	5			5		"
                            0"	"
                            0"	Everything	Never owned		37 kmpl
Ketan Jadhav	4 years ago by	5	King of road	5	5	5	4	4	5	4	"
                            2"	"
                            0"	Everything	Never owned		30 kmpl
Snehil Bhardwaj	4 years ago by	5	Royal feel	5	5		4	4		4	"
                            0"	"
                            0"	Everything	> 1 yr	38 kmpl	5000-10000 kms
Amit	4 years ago by	3	Its so so...				4	4		4	"
                            14"	"
                            0"	Daily Commute	> 1 yr		< 5000 kms
Hamzah	4 years ago by	5	Best bike	5	5	5			5		"
                            0"	"
                            0"	Everything	6 months-1 yr	46 kmpl	< 5000 kms
Ranvir Singh Rana	4 years ago by	4	Rear tyre brake leather problem	5	5		4	4		4	"
                            1"	"
                            0"	Daily Commute	> 1 yr	42 kmpl	> 15000 kms
Chirag Thakran	4 years ago by	4	Thump buster bullet								"
                            0"	"
                            0"	Daily Commute	Never owned		25 kmpl
Maj Reddy	4 years ago by	5	The best bike for ages	5	5	5			5		"
                            0"	"
                            0"	Daily Commute	3-6 months	28 kmpl	10000-15000 kms
Dheeraj	4 years ago by	3	Good classic vintage look bike but with some drawbacks				4	4		4	"
                            0"	"
                            1"	Occasional Commute	> 1 yr	35 kmpl	> 15000 kms
Aman Yadav	4 years ago by	4	My only girlfriend is bullet	5	5		4	4		4	"
                            1"	"
                            0"	Daily Commute	6 months-1 yr	32 kmpl	> 15000 kms
Gyan Prakash	4 years ago by	5	Important for all buyers	5	5	5			5		"
                            2"	"
                            0"	Daily Commute	> 1 yr	35 kmpl	5000-10000 kms
Ajit Kumar Choudhar...	4 years ago by	5	Its nice	5	5	5			5		"
                            0"	"
                            0"	Daily Commute	> 1 yr	28 kmpl	> 15000 kms
Kunal	4 years ago by	5	Royal experience	5			4	4		4	"
                            0"	"
                            0"	Everything	< 3 months	35 kmpl	< 5000 kms
Ravindra Mishra	4 years ago by	5	Nice	5	5	5			5		"
                            0"	"
                            0"	Everything	< 3 months	35 kmpl	< 5000 kms
Abhijit Patil	4 years ago by	4	More powerful	5			4			4	"
                            0"	"
                            0"	Everything	> 1 yr	35 kmpl	5000-10000 kms
Sai	4 years ago by	4	Bullet 350 genuine review	5	5	5	4	4	5	4	"
                            1"	"
                            0"	Leisure Rides	> 1 yr	39 kmpl	> 15000 kms
Gem Gurjar	4 years ago by	5	King bike that rules the world				4	4		4	"
                            0"	"
                            0"	Daily Commute	> 1 yr	50 kmpl	< 5000 kms
Ankur Sharma	4 years ago by	5	Best	5	5		4	4		4	"
                            1"	"
                            0"	Tours	6 months-1 yr	36 kmpl	10000-15000 kms
Chetan	4 years ago by	5	The royal feel of royal enfield	5	5		4	4		4	"
                            0"	"
                            0"	Everything	> 1 yr	30 kmpl	10000-15000 kms
Satnam	4 years ago by	5	Re for royals	5	5	5	4	4	5	4	"
                            0"	"
                            0"	Daily Commute	6 months-1 yr	32 kmpl	< 5000 kms
Prince Sandhu	4 years ago by	5	Stylish and safe bike								"
                            0"	"
                            0"	Everything	6 months-1 yr	150 kmpl	5000-10000 kms
Aayush Bishi	4 years ago by	4	The bullet	5	5		4	4		4	"
                            1"	"
                            0"	Daily Commute	< 3 months	42 kmpl	< 5000 kms
Rohan	4 years ago by	4	Good bike	5	5		4	4		4	"
                            0"	"
                            0"	Occasional Commute	Never owned		
Sathiya	4 years ago by	5	Awesome bike	5	5	5	4		5	4	"
                            1"	"
                            0"	Everything	< 3 months	35 kmpl	< 5000 kms
Zainul Shaan	4 years ago by	5	Amazing bike	5	5	5			5		"
                            0"	"
                            0"	Daily Commute	> 1 yr	35 kmpl	> 15000 kms
Avadhesh	4 years ago by	4	King of bikes	5	5	5	4		5	4	"
                            0"	"
                            0"	Everything	> 1 yr		5000-10000 kms
Mukul	4 years ago by	5	Master blaster bike	5	5	5			5		"
                            0"	"
                            0"	Everything	> 1 yr	45 kmpl	5000-10000 kms
Mahender Reddy	4 years ago by	4	Superb				4	4		4	"
                            0"	"
                            0"	Everything	3-6 months	45 kmpl	5000-10000 kms
Pradeep Kumar Sahoo	4 years ago by	5	Best ever	5	5	5			5		"
                            1"	"
                            0"	Daily Commute	> 1 yr	35 kmpl	> 15000 kms
Sourav Mudgil	4 years ago by	5	Ride royal feel royal	5	5	5	4		5	4	"
                            0"	"
                            0"	Everything	> 1 yr	45 kmpl	5000-10000 kms
Pankaj	4 years ago by	5	Amazing experience	5	5	5			5		"
                            1"	"
                            2"	Everything	6 months-1 yr	35 kmpl	10000-15000 kms
Karan Dhanraj	4 years ago by	3	Made like plastic gun runs like shit				4			4	"
                            57"	"
                            12"	Daily Commute	> 1 yr	30 kmpl	> 15000 kms
Lakesh Bopche	4 years ago by	5	Life is royal enfield	5	5		4	4		4	"
                            0"	"
                            2"	Everything	> 1 yr	35 kmpl	5000-10000 kms
Subhradeep Ghosh	4 years ago by	4	Awesome yaar!!!	5	5	5			5		"
                            0"	"
                            2"	Everything	> 1 yr	100 kmpl	> 15000 kms
Sai	4 years ago by	5	Nice having good features	5	5	5			5		"
                            0"	"
                            0"	Occasional Commute	6 months-1 yr	37 kmpl	5000-10000 kms
Arun	4 years ago by	4	Royalism	5	5		4	4		4	"
                            0"	"
                            0"	Everything	< 3 months	29 kmpl	< 5000 kms
Amit Gour	4 years ago by	5	Mileage 58km per liter	5	5	5			5		"
                            41"	"
                            32"	Daily Commute	> 1 yr	58 kmpl	5000-10000 kms
Ganesh	4 years ago by	4	The best bike you can buy in 1.5 lakh	5	5	5	4	4	5	4	"
                            10"	"
                            0"	Daily Commute	< 3 months	43 kmpl	< 5000 kms
Vinay Gujar	4 years ago by	2	t worth your spending				4	4		4	"
                            21"	"
                            12"	Daily Commute	> 1 yr	35 kmpl	5000-10000 kms
Umamaheswar	4 years ago by	5	I love bullet	5	5	5	4	4	5	4	"
                            0"	"
                            0"	Leisure Rides	> 1 yr	45 kmpl	< 5000 kms
Anil G Potdar	4 years ago by	5	My experience at age 53	5			4	4		4	"
                            3"	"
                            0"	Daily Commute	6 months-1 yr	42 kmpl	< 5000 kms
Mohid Basha	4 years ago by	4	Bullet is king				4	4		4	"
                            1"	"
                            0"	Everything	Never owned		40 kmpl
Himanshu	4 years ago by	5	Ghost rider of royal enfield	5	5		4	4		4	"
                            0"	"
                            0"	Daily Commute	6 months-1 yr	35 kmpl	5000-10000 kms
Varun	4 years ago by	4	Good characteristics of royal enfield								"
                            0"	"
                            0"	Everything	> 1 yr		> 15000 kms
Rajveer Singh Ratho...	4 years ago by	4	Preferred ride of lion hears	5	5	5	4	4	5	4	"
                            0"	"
                            1"	Everything	> 1 yr	40 kmpl	> 15000 kms
Vijay Thakur	4 years ago by	5	 regret ! great value for money	5	5		4	4		4	"
                            1"	"
                            0"	Everything	> 1 yr	35 kmpl	5000-10000 kms
Arun Antony	4 years ago by	5	great bike with great legacy				4	4		4	"
                            0"	"
                            1"	Daily Commute	> 1 yr	35 kmpl	5000-10000 kms
Gurpinder	4 years ago by	4	Royal enfield is best	5	5		4	4		4	"
                            4"	"
                            0"	Everything	> 1 yr	45 kmpl	< 5000 kms
Suhas Achar	4 years ago by	5	My life bullet	5	5	5			5		"
                            5"	"
                            1"	Tours	Never owned		40 kmpl
Kushal Chand	4 years ago by	5	Royal ride	5	5	5	4		5	4	"
                            0"	"
                            1"	Everything	6 months-1 yr		5000-10000 kms
Tanveer Ali	4 years ago by	5	Bullet is best	5	5	5			5		"
                            1"	"
                            0"	Everything	> 1 yr	32 kmpl	> 15000 kms
Nikhil Goel	4 years ago by	3	Riding experience  other can give				4	4		4	"
                            4"	"
                            0"	Occasional Commute	> 1 yr	30 kmpl	10000-15000 kms
Gautam Kotnis	4 years ago by	5	My bullet	5	5	5			5		"
                            78"	"
                            8"	Tours	> 1 yr		> 15000 kms
Sameer Sethiya	4 years ago by	5	Review	5			4	4		4	"
                            4"	"
                            0"	Daily Commute	> 1 yr	30 kmpl	> 15000 kms
Mukund Kumar Mishra	4 years ago by	4	Look wise				4			4	"
                            1"	"
                            0"	Everything	> 1 yr	30 kmpl	< 5000 kms
Aditya Sharma	4 years ago by	4	Its awesome bike for real men				4	4		4	"
                            7"	"
                            2"	Occasional Commute	3-6 months	29 kmpl	< 5000 kms
Pradeep Sharma	4 years ago by	5	Royal enfield is royal indeed	5	5		4	4		4	"
                            1"	"
                            1"	Everything	> 1 yr	40 kmpl	5000-10000 kms
Aritra Dey	4 years ago by	5	Well designed	5	5	5	4	4	5	4	"
                            6"	"
                            2"	Daily Commute	< 3 months	40 kmpl	< 5000 kms
Adarsh	4 years ago by	5	This is what men ride..	5	5		4	4		4	"
                            1"	"
                            1"	Daily Commute	6 months-1 yr	45 kmpl	< 5000 kms
Prajwal Panwar	4 years ago by	4	Standing out since 1901.				4	4		4	"
                            1"	"
                            0"	Tours	6 months-1 yr	30 kmpl	5000-10000 kms
Madhav	4 years ago by	4	Classic 350 complete review	5	5		4	4		4	"
                            1"	"
                            0"	Leisure Rides	6 months-1 yr	28 kmpl	5000-10000 kms
Aviral Shukla	4 years ago by	4	Happy experience with bullet 350 classic and electra twinspark.	5			4	4		4	"
                            1"	"
                            0"	Daily Commute	6 months-1 yr		< 5000 kms
Rishabh Singh	4 years ago by	4	Want to experience royalty go for it	5	5	5			5		"
                            6"	"
                            1"	Daily Commute	> 1 yr	35 kmpl	5000-10000 kms
Animesh Tiwari	4 years ago by	5	Royal on-field	5	5	5			5		"
                            6"	"
                            4"	Everything	> 1 yr	30 kmpl	10000-15000 kms
Abijithvinu	4 years ago by	4	Good options for riders t racers...	5	5	5	4		5	4	"
                            1"	"
                            0"	Everything	< 3 months	40 kmpl	< 5000 kms
Yogesh	4 years ago by	5	Awesome experience	5	5	5			5		"
                            0"	"
                            0"	Daily Commute	3-6 months	35 kmpl	< 5000 kms
Giridharkrishnaus	4 years ago by	5	Royal head force to sound	5	5		4	4		4	"
                            2"	"
                            0"	Everything	> 1 yr		> 15000 kms
Satheesh Vm	4 years ago by	5	Superb for all	5	5	5	4	4	5	4	"
                            1"	"
                            0"	Everything	> 1 yr	45 kmpl	< 5000 kms
Sandy	4 years ago by	4	Enfield	5			4	4		4	"
                            1"	"
                            0"	Everything	6 months-1 yr	35 kmpl	< 5000 kms
Pratyanshu Mishra	4 years ago by	5	Be a royal and choose royal enfeild....	5	5	5			5		"
                            0"	"
                            0"	Everything	Never owned		
Furqan Khan	4 years ago by	5	Byk that needs thing	5	5	5			5		"
                            1"	"
                            0"	Occasional Commute	Never owned		
Aniket Shirole	4 years ago by	4	Its a man thing.	5	5		4	4		4	"
                            0"	"
                            0"	Leisure Rides	> 1 yr	35 kmpl	5000-10000 kms
Baljinder Singh Sal...	4 years ago by	5	My dream bike	5	5	5			5		"
                            0"	"
                            0"	Everything	Never owned		
Pradhap	4 years ago by	4	Good one	5	5		4	4		4	"
                            0"	"
                            1"	Leisure Rides	6 months-1 yr		5000-10000 kms
Shubham	4 years ago by	5	Best bike ever ;	5	5	5			5		"
                            0"	"
                            1"	Everything	6 months-1 yr		10000-15000 kms
Karanbir Singh	4 years ago by	5	Black horse royal enfield 350	5	5		4	4		4	"
                            1"	"
                            0"	Everything	> 1 yr		10000-15000 kms
Waquar Nazir	4 years ago by	5	The thump gives you chills...	5	5	5	4		5	4	"
                            0"	"
                            1"	Daily Commute	3-6 months		< 5000 kms
Sunith	4 years ago by	4	Must useful 1 year user	5	5	5	4		5	4	"
                            1"	"
                            0"	Daily Commute	6 months-1 yr		5000-10000 kms
Javeed	4 years ago by	4	Royal enfield is standard bike never change								"
                            2"	"
                            0"	Everything	> 1 yr		10000-15000 kms
Ganesh	4 years ago by	5	Gun	5	5	5	4	4	5	4	"
                            0"	"
                            0"	Occasional Commute	> 1 yr		5000-10000 kms
Aqkhil Syed	4 years ago by	5	Royalty means everything..!!	5	5	5			5		"
                            0"	"
                            0"	Everything	3-6 months		5000-10000 kms
Rahul Dhayapule	4 years ago by	4	Amazing royal bike				4	4		4	"
                            1"	"
                            1"	Everything	6 months-1 yr		5000-10000 kms
Rayees	4 years ago by	4	Classic 350 -  it uses our own soul t the engine	5	5	5			5		"
                            1"	"
                            0"	Everything	Never owned		
Rajesh	4 years ago by	5	Awesome bike	5	5	5			5		"
                            0"	"
                            0"	Daily Commute	6 months-1 yr		< 5000 kms
Siddardha	4 years ago by	5	Royalty makes u fullfill	5	5	5			5		"
                            1"	"
                            0"	Everything	> 1 yr		10000-15000 kms
Sagar Kale	4 years ago by	5	I love bullet	5	5	5			5		"
                            0"	"
                            0"	Everything	> 1 yr		< 5000 kms
Prith Abraham	4 years ago by	4	Royal enfield standard 350 lifestyle	5			4	4		4	"
                            2"	"
                            1"	Tours	> 1 yr		10000-15000 kms
Venkatesh Naik	4 years ago by	5	The beast	5	5	5			5		"
                            0"	"
                            0"	Everything	> 1 yr		> 15000 kms
Nishant Pratik Minz	4 years ago by	5	"Most dependable, reliable, and comfortable machine."	5	5	5	4	4	5	4	"
                            0"	"
                            0"	Tours	> 1 yr		10000-15000 kms
John	4 years ago by	4	Re review				4	4		4	"
                            1"	"
                            0"	Daily Commute	> 1 yr		10000-15000 kms
Joy Vincent	4 years ago by	5	Good quality  legend bike	5	5	5	4	4	5	4	"
                            1"	"
                            1"	Daily Commute	> 1 yr		> 15000 kms
Aravind	4 years ago by	5	My review	5	5	5	4		5	4	"
                            1"	"
                            0"	Everything	< 3 months		< 5000 kms
Paritosh	4 years ago by	4	King of the road: my bull	5	5		4	4		4	"
                            1"	"
                            0"	Daily Commute	< 3 months		< 5000 kms
Ashish Iyer	4 years ago by	5	Magnificence	5	5		4	4		4	"
                            1"	"
                            0"	Everything	> 1 yr		10000-15000 kms
Achusathyan Kakkara	4 years ago by	4	Made like a gun								"
                            1"	"
                            0"	Daily Commute	> 1 yr		< 5000 kms
Dave	4 years ago by	3	Bullet es 350 mixed opinion				4	4		4	"
                            18"	"
                            2"	Daily Commute	> 1 yr		> 15000 kms
Inderpal Singh	4 years ago by	5	Old is gold	5	5	5	4	4	5	4	"
                            2"	"
                            2"	Daily Commute	Never owned		
Vishav Kumar	4 years ago by	5	Bullet is the father of all bikes....	5	5	5	4	4	5	4	"
                            6"	"
                            2"	Everything	< 3 months		< 5000 kms
Danish	4 years ago by	4	Buy bike for ride t to showoff	5			4	4		4	"
                            0"	"
                            0"	Daily Commute	3-6 months		> 15000 kms
Vern Tauro	4 years ago by	5	Old metal bike!	5	5	5	4		5	4	"
                            0"	"
                            1"	Everything	> 1 yr		< 5000 kms
Raman	5 years ago by	2	Horrible								"
                            64"	"
                            8"				
Venkatesh	6 years ago by	2	Royal cheaters								"
                            284"	"
                            38"				
Debjit Adhikari	7 years ago by	4	Debjit	5			4			4	"
                            53"	"
                            5"				
Sukanta	8 years ago by	5	Indian bike wining world	5	5						"
                            326"	"
                            64"				
Sudip Mukhopadhyay	8 years ago by	4	A bold looking evergreen bike	5			4	4		4	"
                            184"	"
                            38"				
Aravind	4 years ago by	5	My review	5	5	5	4		5	4	"
                            1"	"
                            0"	Everything	< 3 months		< 5000 kms
Paritosh	4 years ago by	4	King of the road: my bull	5	5		4	4		4	"
                            1"	"
                            0"	Daily Commute	< 3 months		< 5000 kms
Ashish Iyer	4 years ago by	5	Magnificence	5	5		4	4		4	"
                            1"	"
                            0"	Everything	> 1 yr		10000-15000 kms
Achusathyan Kakkara	4 years ago by	4	Made like a gun								"
                            1"	"
                            0"	Daily Commute	> 1 yr		< 5000 kms
Dave	4 years ago by	3	Bullet es 350 mixed opinion				4	4		4	"
                            18"	"
                            2"	Daily Commute	> 1 yr		> 15000 kms
Inderpal Singh	4 years ago by	5	Old is gold	5	5	5	4	4	5	4	"
                            2"	"
                            2"	Daily Commute	Never owned		
Vishav Kumar	4 years ago by	5	Bullet is the father of all bikes....	5	5	5	4	4	5	4	"
                            6"	"
                            2"	Everything	< 3 months		< 5000 kms
Danish	4 years ago by	4	Buy bike for ride t to showoff	5			4	4		4	"
                            0"	"
                            0"	Daily Commute	3-6 months		> 15000 kms
Vern Tauro	4 years ago by	5	Old metal bike!	5	5	5	4		5	4	"
                            0"	"
                            1"	Everything	> 1 yr		< 5000 kms
Raman	5 years ago by	2	Horrible								"
                            64"	"
                            8"				
Venkatesh	6 years ago by	2	Royal cheaters								"
                            284"	"
                            38"				
Debjit Adhikari	7 years ago by	4	Debjit	5			4			4	"
                            53"	"
                            5"				
Sukanta	8 years ago by	5	Indian bike wining world	5	5						"
                            326"	"
                            64"				
Sudip Mukhopadhyay	8 years ago by	4	A bold looking evergreen bike	5			4	4		4	"
                            184"	"
                            38"				
